,tissue,method,computational_compartment_assignment,trickR,cellId
115,Mammary,smartseq2,endothelial,Tissue,80
116,Mammary,smartseq2,epithelial,Tissue,240
117,Mammary,smartseq2,immune,Tissue,206
118,Mammary,smartseq2,stromal,Tissue,90
119,Mammary,smartseq2,undetermined,Tissue,61
120,Muscle,10X,endothelial,Tissue,6876
121,Muscle,10X,epithelial,Tissue,3087
122,Muscle,10X,immune,Tissue,936
123,Muscle,10X,stromal,Tissue,14539
124,Muscle,10X,undetermined,Tissue,314
125,Muscle,smartseq2,endothelial,Tissue,1718
126,Muscle,smartseq2,epithelial,Tissue,527
127,Muscle,smartseq2,immune,Tissue,817
128,Muscle,smartseq2,stromal,Tissue,1703
129,Muscle,smartseq2,undetermined,Tissue,395
130,Pancreas,10X,endothelial,Tissue,2615
131,Pancreas,10X,epithelial,Tissue,7095
132,Pancreas,10X,immune,Tissue,2099
133,Pancreas,10X,stromal,Tissue,467
134,Pancreas,10X,undetermined,Tissue,318
135,Pancreas,smartseq2,endothelial,Tissue,106
136,Pancreas,smartseq2,epithelial,Tissue,598
137,Pancreas,smartseq2,immune,Tissue,188
138,Pancreas,smartseq2,stromal,Tissue,38
139,Pancreas,smartseq2,undetermined,Tissue,84
140,Prostate,10X,endothelial,Tissue,1207
141,Prostate,10X,epithelial,Tissue,11411
142,Prostate,10X,immune,Tissue,2386
143,Prostate,10X,stromal,Tissue,470
144,Prostate,10X,undetermined,Tissue,268
145,Prostate,smartseq2,endothelial,Tissue,47
146,Prostate,smartseq2,epithelial,Tissue,395
147,Prostate,smartseq2,immune,Tissue,155
148,Prostate,smartseq2,stromal,Tissue,15
149,Prostate,smartseq2,undetermined,Tissue,21
150,Salivary_Gland,10X,endothelial,Tissue,2754
151,Salivary_Gland,10X,epithelial,Tissue,12302
152,Salivary_Gland,10X,immune,Tissue,7909
153,Salivary_Gland,10X,stromal,Tissue,2681
154,Salivary_Gland,10X,undetermined,Tissue,1063
155,Salivary_Gland,smartseq2,endothelial,Tissue,82
156,Salivary_Gland,smartseq2,epithelial,Tissue,72
157,Salivary_Gland,smartseq2,immune,Tissue,329
158,Salivary_Gland,smartseq2,stromal,Tissue,269
159,Salivary_Gland,smartseq2,undetermined,Tissue,80
160,Skin,10X,endothelial,Tissue,1422
161,Skin,10X,epithelial,Tissue,710
162,Skin,10X,immune,Tissue,3127
163,Skin,10X,stromal,Tissue,3103
164,Skin,10X,undetermined,Tissue,221
165,Skin,smartseq2,endothelial,Tissue,302
166,Skin,smartseq2,epithelial,Tissue,279
167,Skin,smartseq2,immune,Tissue,795
168,Skin,smartseq2,stromal,Tissue,135
169,Skin,smartseq2,undetermined,Tissue,134
170,Small_Intestine,10X,endothelial,Tissue,450
171,Small_Intestine,10X,epithelial,Tissue,4107
172,Small_Intestine,10X,immune,Tissue,6835
173,Small_Intestine,10X,stromal,Tissue,156
174,Small_Intestine,10X,undetermined,Tissue,313
175,Small_Intestine,smartseq2,endothelial,Tissue,36
176,Small_Intestine,smartseq2,epithelial,Tissue,501
177,Small_Intestine,smartseq2,immune,Tissue,18
178,Small_Intestine,smartseq2,stromal,Tissue,19
179,Small_Intestine,smartseq2,undetermined,Tissue,32
180,Spleen,10X,endothelial,Tissue,2342
181,Spleen,10X,epithelial,Tissue,1355
182,Spleen,10X,immune,Tissue,27880
183,Spleen,10X,stromal,Tissue,37
184,Spleen,10X,undetermined,Tissue,247
185,Spleen,smartseq2,endothelial,Tissue,271
186,Spleen,smartseq2,epithelial,Tissue,164
187,Spleen,smartseq2,immune,Tissue,1609
188,Spleen,smartseq2,stromal,Tissue,31
189,Spleen,smartseq2,undetermined,Tissue,73
190,Thymus,10X,endothelial,Tissue,5825
191,Thymus,10X,epithelial,Tissue,1521
192,Thymus,10X,immune,Tissue,19693
193,Thymus,10X,stromal,Tissue,5965
194,Thymus,10X,undetermined,Tissue,205
195,Thymus,smartseq2,endothelial,Tissue,290
196,Thymus,smartseq2,epithelial,Tissue,34
197,Thymus,smartseq2,immune,Tissue,42
198,Thymus,smartseq2,stromal,Tissue,216
199,Thymus,smartseq2,undetermined,Tissue,18
200,Tongue,10X,endothelial,Tissue,581
201,Tongue,10X,epithelial,Tissue,11000
202,Tongue,10X,immune,Tissue,1337
203,Tongue,10X,stromal,Tissue,665
204,Tongue,10X,undetermined,Tissue,58
205,Tongue,smartseq2,endothelial,Tissue,152
206,Tongue,smartseq2,epithelial,Tissue,665
207,Tongue,smartseq2,immune,Tissue,290
208,Tongue,smartseq2,stromal,Tissue,193
209,Tongue,smartseq2,undetermined,Tissue,156
210,Trachea,10X,endothelial,Tissue,425
211,Trachea,10X,epithelial,Tissue,4783
212,Trachea,10X,immune,Tissue,2373
213,Trachea,10X,stromal,Tissue,1483
214,Trachea,10X,undetermined,Tissue,39
215,Trachea,smartseq2,endothelial,Tissue,59
216,Trachea,smartseq2,epithelial,Tissue,215
217,Trachea,smartseq2,immune,Tissue,58
218,Trachea,smartseq2,stromal,Tissue,127
219,Trachea,smartseq2,undetermined,Tissue,18
220,Uterus,10X,endothelial,Tissue,2638
221,Uterus,10X,epithelial,Tissue,897
222,Uterus,10X,immune,Tissue,1129
223,Uterus,10X,stromal,Tissue,5927
224,Uterus,10X,undetermined,Tissue,88
225,Uterus,smartseq2,endothelial,Tissue,68
226,Uterus,smartseq2,epithelial,Tissue,144
227,Uterus,smartseq2,immune,Tissue,208
228,Uterus,smartseq2,stromal,Tissue,254
229,Uterus,smartseq2,undetermined,Tissue,49
230,Vasculature,10X,endothelial,Tissue,4673
231,Vasculature,10X,epithelial,Tissue,229
232,Vasculature,10X,immune,Tissue,1371
233,Vasculature,10X,stromal,Tissue,10192
234,Vasculature,10X,undetermined,Tissue,52
235,Vasculature,smartseq2,endothelial,Tissue,373
236,Vasculature,smartseq2,epithelial,Tissue,33
237,Vasculature,smartseq2,immune,Tissue,142
238,Vasculature,smartseq2,stromal,Tissue,271
239,Vasculature,smartseq2,undetermined,Tissue,28
